;meta[language=cleartext]
; id      |key(hex)|key(str)| text
2117400000|72c8a65b||自动拾取进阶设定
2117400001|603aa015||设定
2117400002|b13d48f1||预设
2117400003|851b7b5c||默认
2117400004|bde9af95||启用自动拾取模组
2117400005|45b020ff||增加杰洛特的负重
2117400006|f8648e15||防止意外偷窃行为
2117400007|bb11969a||禁用偷窃行为检测
2117400008|803081f5||击杀后即自动拾取
2117400009|f4ca5b19||拾取任务/受保护的容器时发出警告
2117400010|1fd074a0||强制自动拾取任务容器
2117400011|b90652df||重置所有设置<font size="16">（关闭菜单/重启游戏后生效）</font>
2117400012|ff47a2d9||全局过滤
2117400013|938736b5||全局过滤预设
2117400014|ae609cd8||排除猎魔人图纸<font size="16">（寻宝任务）</font>
2117400015|c891b1e9||排除特殊容器<font size="16">（强盗营地、怪物宝藏、走私品、战场遗迹、战掠品）</font>
2117400016|085b48b0||排除战利品
2117400017|6fc2679b||排除葡萄园中的草药
2117400018|f95491a3||排除蜂巢
2117400019|bed9f48f||排除主动丢弃的物品
2117400020|7bdd8a63||骑马时禁用自动拾取
2117400021|65a1ef58||摧毁普通品质的武器与盔甲<font color="#BC1515" size="16">（实验性功能!）</font>
2117400022|35a4f875||<font color="#7F7F7F">关闭</font>
2117400023|be4adb77||开启（十字弓除外）
2117400024|a6e44a19||开启
2117400025|44f6f384||容器筛选
2117400026|5ff2d560||容器筛选预设
2117400027|91290e12||仅遗体
2117400028|84389f95||单物品容器
2117400029|5869d9ca||遗体<font size="16">（检查"容器"是否为遗体）</font>
2117400030|c908f253||主动丢弃的物品
2117400031|b8239440||数量筛选<font size="16">（检查容器内物品（种类）数量）</font>
2117400032|e01953ff||物品数量<font size="16">（比较阈值）</font>
2117400033|370c48f2||数量比较方式
2117400034|61cdbbe6||小于等于（&lt;=阈值）
2117400035|d78f7a52||等于（=阈值）
2117400036|9161128d||大于等于（&gt;=阈值）
2117400037|3d29e57f||互动键拾取<br/><font color="#7F7F7F"><font size="16">（拾取所有物品）</font>
2117400038|d169795b||互动键拾取预设
2117400039|5f140470||互动键（'E'）行为
2117400040|31a3dc2b||<font size="22"><font color="#7F7F7F">原版弹窗（禁用下方选项）</font>
2117400041|a98ba167||仅特殊容器使用原版弹窗
2117400042|963f17a3||自动拾取容器
2117400043|f31785a3||拾取时的容器搜索范围
2117400044|73e2b663||拾取时的草药搜索范围
2117400045|978c5c56||物品筛选
2117400046|dc0cb5fa||物品筛选预设
2117400047|cec180bd||选择全部
2117400048|51b3c026||排除白色品质
2117400049|99d009ad||<font color="#FF8F00">启用筛选</font> <font size="21">（关闭则拾取所有物品）</font>
2117400050|6e49e6a2||草药
2117400051|b0b25452||盔甲
2117400052|d3dab021||选择品质
2117400053|bfb993b2||限制最大库存数量<font size="16">（0 = 关闭）</font>
2117400054|592febe4||= 普通（白色）
2117400055|697dec5b||= 大师（蓝色）
2117400056|a8904494||= 魔法（黄色）
