;meta[language=zh]
; id      |key(hex)|key(str)| text
2117400000|72c8a65b||自動拾取進階設定
2117400001|603aa015||設定
2117400002|b13d48f1||預設
2117400003|851b7b5c||預設
2117400004|bde9af95||啓用自動拾取模組
2117400005|45b020ff||增加傑洛特的負重
2117400006|f8648e15||防止意外偷竊行為
2117400007|bb11969a||停用偷竊行為偵測
2117400008|803081f5||擊殺後即自動拾取
2117400009|f4ca5b19||拾取任務/受保護的容器時發出警告
2117400010|1fd074a0||強制自動拾取任務容器
2117400011|b90652df||重設所有設定<font size="16">（關閉菜單/重啓游戲後生效）</font>
2117400012|ff47a2d9||全局過濾
2117400013|938736b5||全局過濾預設
2117400014|ae609cd8||排除獵魔人圖紙<font size="16">（尋寶任務）</font>
2117400015|c891b1e9||排除特殊容器<font size="16">（強盜營地、怪物寶藏、走私品、戰場遺跡、戰掠品）</font>
2117400016|085b48b0||排除戰利品
2117400017|6fc2679b||排除葡萄園中的草藥
2117400018|f95491a3||排除蜂巢
2117400019|bed9f48f||排除主動丟棄的物品
2117400020|7bdd8a63||騎馬時停用自動拾取
2117400021|65a1ef58||摧毀普通品質的武器與盔甲<font color="#BC1515" size="16">（實驗性功能!）</font>
2117400022|35a4f875||<font color="#7F7F7F">關閉</font>
2117400023|be4adb77||開啓（十字弓除外）
2117400024|a6e44a19||開啓
2117400025|44f6f384||容器篩選
2117400026|5ff2d560||容器篩選預設
2117400027|91290e12||僅遺體
2117400028|84389f95||單物品容器
2117400029|5869d9ca||遺體<font size="16">（檢查"容器"是否為遺體）</font>
2117400030|c908f253||主動丟棄的物品
2117400031|b8239440||數量篩選<font size="16">（檢查容器內物品（種類）數量）</font>
2117400032|e01953ff||物品數量<font size="16">（比較閾值）</font>
2117400033|370c48f2||數量比較方式
2117400034|61cdbbe6||小於等於（&lt;=閾值）
2117400035|d78f7a52||等於（=閾值）
2117400036|9161128d||大於等於（&gt;=閾值）
2117400037|3d29e57f||互動鍵拾取<br/><font color="#7F7F7F"><font size="16">（拾取所有物品）</font>
2117400038|d169795b||互動鍵拾取預設
2117400039|5f140470||互動鍵（'E'）行為
2117400040|31a3dc2b||<font size="22"><font color="#7F7F7F">原版彈出視窗（停用下方選項）</font>
2117400041|a98ba167||僅特殊容器使用原版彈出視窗
2117400042|963f17a3||自動拾取容器
2117400043|f31785a3||拾取時的容器搜尋範圍
2117400044|73e2b663||拾取時的草藥搜尋範圍
2117400045|978c5c56||物品篩選
2117400046|dc0cb5fa||物品篩選預設
2117400047|cec180bd||選擇全部
2117400048|51b3c026||排除白色品質
2117400049|99d009ad||<font color="#FF8F00">啓用篩選</font> <font size="21">（關閉則拾取所有物品）</font>
2117400050|6e49e6a2||草藥
2117400051|b0b25452||盔甲
2117400052|d3dab021||選擇品質
2117400053|bfb993b2||限制最大庫存數量<font size="16">（0 = 關閉）</font>
2117400054|592febe4||= 普通（白色）
2117400055|697dec5b||= 大師（藍色）
2117400056|a8904494||= 魔法（黃色）
2117400057|a8d89e5a||= 遺物（橙色）
2117400058|e4eb1bdb||= 獵魔人（綠色）
2117400059|ca23ca7a||&lt;= 大師（藍色）
2117400060|ccb6a695||&lt;= 魔法（黃色）
2117400061|ccff005b||&lt;= 遺物（橙色）
