;meta[language=cleartext]
; id      |key(hex)|key(str)| text
2117167000|4d5f8b0c||模组
2117167001|7f878b6f||友好专注
2117167002|2abf277c||版本 2.0
2117167003|598c0a27||作者推荐
2117167004|266babea||默认设置
2117167005|523bdb4e||屏幕变暗效果
2117167006|3bc8b9c8||启用音效效果
2117167007|4a8ed7a5||淡入淡出效果
2117167008|e39fde91||降低环境音效
2117167009|99e887bc||启用过肩视角
2117167010|04f03587||限制跳跃能力
2117167011|9640811b||限制冲刺能力
2117167012|23f977e1||长按启用感官
2117167013|0a2ca55a||启用猫眼效果
2117167014|e975f9ad||物品高亮特效
2117167015|225df6a5||尸体粒子特效
2117167016|4609ba53||怪物波纹特效
2117167017|598c0a28||编辑推荐
2117167018|8d3c90ff||版本 2.0
